#g_err   r_err   J_err   Ks_err  W1_err  W2_err  W3_err  W4_err
0.054	0.093	9.999	9.999	0.039	0.028	0.026	0.118
0.009	0.200	0.014	0.024	0.039	0.047	0.040	0.060
1.142	1.295	0.156	0.088	0.091	0.082	0.053	0.093
0.107	0.103	9.999	9.999	0.046	0.035	0.033	0.084
0.080	0.134	9.999	0.062	0.384	9.999	0.125	0.186
0.161	0.200	9.999	9.999	0.209	0.160	0.072	0.137
0.015	0.018	9.999	9.999	0.085	0.057	0.074	0.095
0.229	0.284	0.154	0.280	0.092	0.066	0.037	0.086
0.018	0.022	0.078	0.112	0.132	0.136	0.073	0.162
0.005	0.007	9.999	9.999	0.034	0.031	0.034	0.073
0.529	0.425	0.158	0.142	0.130	0.055	0.033	0.093
0.039	0.037	0.053	0.086	0.038	0.032	0.029	0.082
0.109	0.139	0.174	0.109	0.102	0.063	0.065	0.124
0.047	0.038	9.999	9.999	0.110	0.113	0.055	0.094
0.029	0.052	0.051	0.088	0.074	0.075	0.061	0.114
